

0.2
UMEAN:	0.14924749656214864	0.26774971342916315
IMEAN:	0.1626401568109676	0.287751012636176
UPCC:	0.09186004807149023	0.19097813395882257
IPCC:	0.07594762417025967	0.17454928667263298
UIPCC:	0.07594762417025967	0.1459016012703361
URR:	0.16960271676357316	0.2030702619835686
URRT:	0.1343606950723118	0.20595727075408332

0.3
UMEAN:	0.18894639273912797	0.30109831406912696
IMEAN:	0.1731775751144689	0.28725362979383773
UPCC:	0.10586873582601267	0.1958099509735945
IPCC:	0.06618487868402229	0.15285676703165096
UIPCC:	0.06618487868402229	0.13820743763587306
URR:	0.21179586489746047	0.23856871552516448
URRT:	0.14511611484498899	0.209233079027895


UMEAN:	0.08137989320942178	0.1916709066756001
IMEAN:	0.09373070993870264	0.21314157871755227
UPCC:	0.03989865906774486	0.12762687478125428
IPCC:	0.0576280589136535	0.162807603310723
UIPCC:	0.03989865906774486	0.11442339642559718
URR:	0.1452325108166962	0.18867323159933194
URRT:	0.10441992812839282	0.17781793927788478

0.3 0.1
UMEAN:	0.1918018543293657	0.30267170378958014
IMEAN:	0.16199022157741086	0.18131926454783234
UPCC:	0.104434426417453	0.1883502396096971
IPCC:	0.03173942307888986	0.08816516625308916
UIPCC:	0.03173942307888986	0.08816516625308916
URR:	0.19165613982504612	0.21956696571255035

UMEAN:	0.18890941179746107	0.29731081885381133
IMEAN:	0.16072252432461384	0.17931486034434455
UPCC:	0.10708433267455911	0.19409914622862287
IPCC:	0.029942794342885094	0.08621795570700583
UIPCC:	0.029942794342885094	0.08621795570700581
URR:	0.19885727189705746	0.22351172252948315

UMEAN:	0.19141181107694413	0.3055560919202236
IMEAN:	0.16660807414583897	0.18550088910726154
UPCC:	0.10653790701555928	0.1962382884685381
IPCC:	0.03467831199256853	0.08849961095674339
UIPCC:	0.03467831199256853	0.08849961095674337
URR:	0.2019003954766572	0.22683138351760734
