
Density = 0.1	Random = 0.005	Time: 17:13:19
UIPCC:	0.5564841422964962	1.3767907820406742
RAP:	0.5338701715325253	1.3859082477388622
RAPC:	0.5280036333000097	1.346699400353943
Density = 0.1	Random = 0.02	Time: 15:36:41
UIPCC:	0.6410875253881303	1.447120105558443
RAP:	0.5791088257219256	1.429919181373244
RAPC:	0.5396466729829215	1.3717389446351205
Density = 0.1	Random = 0.015	Time: 20:29:55
UIPCC:	0.6263467354578137	1.4386244940460684
RAP:	0.5680690656731058	1.4067823977288838
RAPC:	0.5344461641899446	1.3516698902836137


Density = 0.05	Random = 0.03	Time: 18:00:34
UIPCC:	0.7654449793985858	1.5931738769218944
RAP:	0.682351553672425	1.5683827844631277
RAPC:	0.617940138658285	1.4829946340211548
Density = 0.075	Random = 0.03	Time: 12:06:00
UIPCC:	0.7184955663261441	1.5259146712423863
RAP:	0.6416062602309501	1.4971234621925633
RAPC:	0.5709116047128038	1.4082420980474097
Density = 0.1	Random = 0.03	Time: 22:46:51
UIPCC:	0.6905512262920988	1.4765181366514155
RAP:	0.6022202100790544	1.4297667492638337
RAPC:	0.5402273523602197	1.3545831997459339
Density = 0.125	Random = 0.03	Time: 15:59:56
UIPCC:	0.6508439991356082	1.4200557256010349
RAP:	0.5661024956312842	1.375121561312452
RAPC:	0.5161919248835647	1.3143786795733763
Density = 0.15	Random = 0.03	Time: 19:11:05
UIPCC:	0.5998352248906635	1.3638193662784026
RAP:	0.5282036246255275	1.323838425248733
RAPC:	0.4898314981653827	1.270310459022307
Density = 0.175	Random = 0.03	Time: 21:54:08
UIPCC:	0.5565071424539789	1.3235034725373853
RAP:	0.5002398003326111	1.3006769739329918
RAPC:	0.4706058958347306	1.251680233771064
Density = 0.2	Random = 0.03	Time: 01:10:46
UIPCC:	0.5326143046258653	1.294232182651625
RAP:	0.4818620291703466	1.2760910499435343
RAPC:	0.45752513481603235	1.2302825677181974
Density = 0.225	Random = 0.03	Time: 15:04:27
UIPCC:	0.5172858544081886	1.2731805507186262
RAP:	0.46977771605869395	1.2541100271233212
RAPC:	0.4486439968504442	1.2119718203487475
Density = 0.25	Random = 0.03	Time: 15:05:01
UIPCC:	0.5031359292247753	1.254202966456404
RAP:	0.4613839086010221	1.243011587154013
RAPC:	0.4435770585769057	1.2058443933364313
Density = 0.275	Random = 0.03	Time: 09:45:12
UIPCC:	0.49131237220274204	1.2349010287486544
RAP:	0.4540111546412281	1.2301704542774483
RAPC:	0.4365662678122776	1.187380250652721
Density = 0.3	Random = 0.03	Time: 20:12:43
UIPCC:	0.47983164057196576	1.2183305271370044
RAP:	0.44272370700582464	1.204156685849537
RAPC:	0.4289623867301374	1.1692959334267137
